,Country,EdLevel,YearsCodePro,Salary,Age
9,Sweden,Master’s degree,4.0,51552.0,25-34 years old
11,Spain,Bachelor’s degree,5.0,46482.0,25-34 years old
12,Germany,Master’s degree,6.0,77290.0,25-34 years old
16,Turkey,Bachelor’s degree,2.0,17748.0,25-34 years old
17,Canada,Bachelor’s degree,6.0,46135.0,25-34 years old
23,France,Master’s degree,2.0,38915.0,25-34 years old
24,Germany,Master’s degree,18.0,77831.0,35-44 years old
26,Switzerland,Master’s degree,5.0,81319.0,25-34 years old
27,UK,Bachelor’s degree,21.0,68507.0,45-54 years old
29,Ruassia,Master’s degree,16.0,37752.0,35-44 years old
31,Israel,Bachelor’s degree,2.0,122580.0,25-34 years old
33,Turkey,Bachelor’s degree,2.0,11832.0,18-24 years old
34,Ukraine,Master’s degree,10.0,24000.0,25-34 years old
35,Germany,Master’s degree,10.0,60535.0,25-34 years old
36,USA,Bachelor’s degree,0.5,103000.0,18-24 years old
41,France,Master’s degree,3.0,25944.0,25-34 years old
45,Brazil,Bachelor’s degree,15.0,60480.0,35-44 years old
50,Greece,Bachelor’s degree,6.0,25944.0,25-34 years old
55,UK,Master’s degree,12.0,64630.0,35-44 years old
57,Italy,Master’s degree,16.0,54049.0,35-44 years old
58,Ruassia,Post grad,3.0,22644.0,25-34 years old
62,USA,Bachelor’s degree,5.0,130000.0,25-34 years old
67,Canada,Less than a Bachelors,10.0,71850.0,35-44 years old
68,Spain,Master’s degree,10.0,58373.0,35-44 years old
69,UK,Bachelor’s degree,18.0,129266.0,35-44 years old
70,Netherlands,Master’s degree,2.0,25944.0,25-34 years old
75,USA,Bachelor’s degree,15.0,105000.0,45-54 years old
76,Poland,Bachelor’s degree,8.0,45564.0,25-34 years old
77,Canada,Post grad,8.0,151263.0,35-44 years old
81,Sweden,Bachelor’s degree,3.0,40500.0,35-44 years old
86,Canada,Less than a Bachelors,17.0,95295.0,35-44 years old
87,USA,Post grad,1.0,100000.0,25-34 years old
88,UK,Bachelor’s degree,14.0,61398.0,35-44 years old
91,Netherlands,Less than a Bachelors,10.0,108098.0,25-34 years old
97,Poland,Bachelor’s degree,4.0,27336.0,18-24 years old
105,Switzerland,Master’s degree,26.0,134176.0,55-64 years old
106,UK,Bachelor’s degree,3.0,64630.0,18-24 years old
108,Spain,Less than a Bachelors,8.0,38915.0,25-34 years old
114,Italy,Master’s degree,2.0,14268.0,25-34 years old
116,Netherlands,Bachelor’s degree,2.0,43239.0,25-34 years old
118,USA,Bachelor’s degree,6.0,140000.0,25-34 years old
119,France,Master’s degree,2.0,45401.0,25-34 years old
123,Austria,Master’s degree,8.0,59676.0,25-34 years old
124,Israel,Less than a Bachelors,5.0,101916.0,35-44 years old
128,USA,Bachelor’s degree,1.0,54000.0,18-24 years old
130,Netherlands,Less than a Bachelors,5.0,36324.0,25-34 years old
136,UK,Bachelor’s degree,3.0,38778.0,25-34 years old
137,Canada,Master’s degree,5.0,63530.0,35-44 years old
142,Romania,Bachelor’s degree,2.0,14652.0,18-24 years old
143,USA,Bachelor’s degree,34.0,200000.0,45-54 years old
145,Germany,Master’s degree,11.0,97288.0,25-34 years old
146,Ruassia,Post grad,5.0,75492.0,25-34 years old
150,France,Master’s degree,5.0,49725.0,18-24 years old
152,UK,Bachelor’s degree,25.0,70047.0,45-54 years old
153,USA,Bachelor’s degree,4.0,98500.0,18-24 years old
155,USA,Bachelor’s degree,24.0,115000.0,45-54 years old
156,Switzerland,Master’s degree,6.0,43908.0,25-34 years old
159,Ukraine,Master’s degree,8.0,42000.0,25-34 years old
160,Israel,Bachelor’s degree,4.0,105072.0,25-34 years old
161,UK,Post grad,22.0,71093.0,45-54 years old
170,Canada,Master’s degree,3.0,98321.0,35-44 years old
172,Italy,Less than a Bachelors,14.0,54049.0,35-44 years old
175,Ruassia,Bachelor’s degree,6.0,56616.0,25-34 years old
179,Greece,Bachelor’s degree,18.0,25944.0,35-44 years old
180,UK,Less than a Bachelors,25.0,60752.0,55-64 years old
182,Poland,Bachelor’s degree,3.0,16704.0,35-44 years old
184,Romania,Bachelor’s degree,15.0,81420.0,35-44 years old
186,UK,Master’s degree,13.0,84019.0,35-44 years old
190,USA,Master’s degree,9.0,70000.0,25-34 years old
198,Ruassia,Master’s degree,2.0,30192.0,25-34 years old
199,USA,Less than a Bachelors,5.0,90000.0,25-34 years old
203,Netherlands,Bachelor’s degree,6.0,50592.0,25-34 years old
206,USA,Master’s degree,2.0,193000.0,25-34 years old
208,Greece,Bachelor’s degree,4.0,28536.0,25-34 years old
209,Australia,Master’s degree,2.0,96874.0,35-44 years old
210,UK,Bachelor’s degree,14.0,77556.0,35-44 years old
212,Switzerland,Less than a Bachelors,22.0,121979.0,35-44 years old
213,Ruassia,Post grad,9.0,75492.0,25-34 years old
223,Ruassia,Bachelor’s degree,26.0,43404.0,35-44 years old
